日期,辐照度_0,风速_0,风向_0,温度_0,湿度_0,气压_0,辐照度_1,风速_1,风向_1,温度_1,湿度_1,气压_1,辐照度_2,风速_2,风向_2,温度_2,湿度_2,气压_2,辐照度_3,风速_3,风向_3,温度_3,湿度_3,气压_3,辐照度_4,风速_4,风向_4,温度_4,湿度_4,气压_4,辐照度_5,风速_5,风向_5,温度_5,湿度_5,气压_5,辐照度_6,风速_6,风向_6,温度_6,湿度_6,气压_6,辐照度_7,风速_7,风向_7,温度_7,湿度_7,气压_7,belong,电场实际太阳辐射指数
11.0,0.0,9.8,287.0,-13.1,44.0,69700.0,0.0,7.1,294.0,-14.4,49.0,69600.0,0.0,4.4,308.0,-15.6,50.0,69600.0,303.0,1.3,321.0,-10.8,35.0,69700.0,496.0,0.2,153.0,-6.9,24.0,69300.0,189.0,1.1,117.0,-5.7,25.0,69200.0,0.0,1.6,68.0,-7.5,30.0,69300.0,0.0,0.3,18.0,-10.6,40.0,69300.0,0,0.545309634576044
12.0,0.0,0.9,49.0,-11.7,38.0,69200.0,0.0,1.0,119.0,-11.8,42.0,69000.0,0.0,0.4,90.0,-13.2,47.0,69100.0,369.0,0.7,304.0,-8.2,37.0,69100.0,585.0,1.1,63.0,-4.0,30.0,68900.0,240.0,0.8,90.0,-2.9,33.0,68800.0,0.0,0.4,27.0,-6.7,45.0,68900.0,0.0,1.9,6.0,-8.7,52.0,69000.0,0,0.41165500261276
13.0,0.0,1.5,37.0,-10.5,57.0,69000.0,0.0,0.8,14.0,-11.8,67.0,68900.0,0.0,2.8,297.0,-13.7,65.0,69100.0,373.0,0.9,276.0,-7.1,41.0,69200.0,594.0,2.1,101.0,-2.7,33.0,68900.0,245.0,2.7,105.0,-1.7,32.0,68800.0,0.0,4.2,306.0,-5.0,36.0,69000.0,0.0,9.4,284.0,-6.1,37.0,69300.0,0,0.21759836939408303
14.0,0.0,11.0,289.0,-9.2,40.0,69500.0,0.0,7.0,291.0,-11.5,46.0,69500.0,0.0,4.3,292.0,-13.5,48.0,69500.0,379.0,1.7,263.0,-7.5,29.0,69600.0,603.0,0.1,270.0,-3.1,20.0,69300.0,252.0,0.6,59.0,-1.3,18.0,69100.0,0.0,0.9,174.0,-5.1,26.0,69200.0,0.0,2.2,262.0,-8.4,29.0,69200.0,0,0.0815994089226334
15.0,0.0,3.4,275.0,-10.7,32.0,69100.0,0.0,4.9,299.0,-11.2,29.0,69100.0,0.0,5.4,279.0,-12.5,30.0,69200.0,379.0,3.6,300.0,-7.1,21.0,69400.0,606.0,3.0,333.0,-2.2,14.0,69100.0,255.0,2.9,280.0,-0.5,13.0,69100.0,0.0,5.7,289.0,-5.5,19.0,69200.0,0.0,3.1,323.0,-8.3,25.0,69200.0,0,0.40096149011417603
16.0,0.0,2.1,5.0,-11.4,34.0,69200.0,0.0,3.7,19.0,-12.7,39.0,69100.0,0.0,1.2,0.0,-13.9,38.0,69100.0,378.0,1.0,0.0,-8.9,26.0,69200.0,583.0,1.3,61.0,-4.7,22.0,68900.0,229.0,1.3,132.0,-3.8,22.0,68900.0,0.0,3.0,82.0,-6.2,29.0,69200.0,0.0,1.3,90.0,-7.7,35.0,69400.0,0,0.163198817845267
17.0,0.0,4.9,328.0,-8.5,35.0,69300.0,0.0,9.8,287.0,-10.8,34.0,69300.0,0.0,9.3,282.0,-12.0,36.0,69500.0,384.0,4.4,266.0,-6.7,23.0,69700.0,608.0,4.5,278.0,-1.1,16.0,69300.0,257.0,7.8,285.0,0.0,18.0,69300.0,0.0,9.2,294.0,-4.7,23.0,69600.0,0.0,7.4,288.0,-6.8,23.0,69700.0,0,0.31007775390600706
18.0,0.0,6.8,281.0,-9.4,24.0,69800.0,0.0,5.8,298.0,-11.5,28.0,69700.0,0.0,2.8,312.0,-12.9,28.0,69800.0,317.0,0.6,270.0,-7.6,17.0,69900.0,505.0,0.3,45.0,-3.4,14.0,69600.0,229.0,0.6,90.0,-2.0,15.0,69500.0,0.0,1.4,65.0,-5.5,20.0,69700.0,0.0,3.1,54.0,-6.9,24.0,69700.0,0,0.6148999526610649
19.0,0.0,2.5,83.0,-8.4,32.0,69600.0,0.0,0.2,90.0,-9.0,38.0,69500.0,0.0,2.0,255.0,-11.2,41.0,69500.0,222.0,2.9,274.0,-6.5,27.0,69600.0,360.0,2.8,255.0,-2.8,23.0,69500.0,206.0,2.7,298.0,-1.6,24.0,69600.0,0.0,14.5,293.0,-4.6,34.0,69900.0,0.0,13.3,285.0,-7.5,37.0,70100.0,0,0.630491329582963
20.0,0.0,10.9,280.0,-10.0,46.0,70200.0,0.0,5.1,282.0,-12.9,54.0,70100.0,0.0,3.4,287.0,-14.7,50.0,70200.0,394.0,2.4,277.0,-8.0,29.0,70300.0,627.0,1.8,248.0,-2.1,17.0,70000.0,276.0,6.3,278.0,-0.3,13.0,70000.0,0.0,10.9,293.0,-4.0,14.0,70200.0,0.0,8.6,273.0,-7.0,17.0,70200.0,0,0.193798651562282
21.0,0.0,8.9,279.0,-9.3,20.0,70200.0,0.0,8.4,282.0,-11.2,23.0,70200.0,0.0,4.9,283.0,-13.2,24.0,70300.0,393.0,2.1,299.0,-6.8,15.0,70400.0,587.0,0.8,293.0,-1.6,11.0,70100.0,235.0,2.0,143.0,-1.2,12.0,69900.0,0.0,1.2,81.0,-4.1,17.0,70000.0,0.0,0.1,90.0,-5.8,17.0,70000.0,0,0.19933569893957603
22.0,0.0,1.5,67.0,-8.2,18.0,69900.0,0.0,1.0,127.0,-7.1,18.0,69700.0,0.0,0.6,279.0,-8.2,21.0,69700.0,299.0,0.4,194.0,-5.0,16.0,69800.0,532.0,1.5,90.0,-0.8,15.0,69500.0,233.0,1.2,125.0,0.4,18.0,69500.0,0.0,2.7,297.0,-2.7,25.0,69700.0,0.0,6.4,279.0,-3.6,26.0,69800.0,0,0.32095821909175104
23.0,0.0,8.7,281.0,-4.7,39.0,70000.0,0.0,10.1,281.0,-7.1,44.0,69900.0,0.0,9.5,280.0,-8.5,45.0,70100.0,398.0,3.4,280.0,-3.6,32.0,70300.0,636.0,0.9,186.0,0.8,24.0,70100.0,289.0,2.4,120.0,0.9,28.0,69900.0,0.0,1.3,67.0,-3.0,34.0,70000.0,0.0,1.0,107.0,-4.0,30.0,70000.0,0,0.0
24.0,0.0,0.9,122.0,-4.3,29.0,70000.0,0.0,2.9,264.0,-9.4,50.0,70000.0,0.0,0.8,247.0,-11.3,50.0,70100.0,392.0,0.5,180.0,-3.6,29.0,70100.0,607.0,1.5,98.0,2.1,18.0,69700.0,283.0,1.1,10.0,4.4,17.0,69600.0,0.0,1.4,306.0,-2.3,27.0,69700.0,0.0,1.1,135.0,-1.5,24.0,69700.0,0,0.0676532773849509
25.0,0.0,0.8,90.0,-2.6,25.0,69600.0,0.0,0.7,90.0,-3.0,29.0,69500.0,0.0,0.9,221.0,-7.3,35.0,69600.0,402.0,2.3,358.0,0.0,20.0,69700.0,637.0,4.1,122.0,2.3,19.0,69600.0,293.0,5.1,98.0,2.0,25.0,69500.0,0.0,4.9,105.0,-4.3,42.0,69700.0,0.0,4.0,115.0,-6.0,42.0,69800.0,0,0.299004096582536
26.0,0.0,1.3,148.0,-7.5,45.0,69700.0,0.0,0.6,219.0,-8.4,46.0,69400.0,0.0,0.5,349.0,-7.5,42.0,69400.0,405.0,0.4,333.0,-3.3,30.0,69200.0,641.0,1.1,34.0,3.0,20.0,68800.0,293.0,0.9,54.0,4.8,20.0,68500.0,0.0,0.3,252.0,1.8,27.0,68500.0,0.0,0.7,90.0,0.0,27.0,68500.0,0,0.364476766898724
27.0,0.0,0.1,0.0,-3.7,34.0,68500.0,0.0,0.8,104.0,-1.4,32.0,68400.0,0.0,1.5,152.0,-4.5,40.0,68400.0,332.0,2.2,112.0,-0.4,31.0,68400.0,440.0,3.7,103.0,3.2,26.0,68300.0,155.0,5.3,107.0,-0.4,40.0,68600.0,0.0,6.6,112.0,-4.4,55.0,69000.0,0.0,4.7,105.0,-6.3,64.0,69200.0,0,0.491846995904009
28.0,0.0,0.6,59.0,-8.0,60.0,69300.0,0.0,0.4,146.0,-9.0,68.0,69200.0,0.0,1.2,284.0,-11.1,69.0,69300.0,389.0,0.4,284.0,-5.8,49.0,69500.0,652.0,1.2,125.0,-0.8,33.0,69200.0,322.0,1.9,93.0,0.6,31.0,69100.0,0.0,0.9,159.0,-2.6,35.0,69200.0,0.0,1.3,81.0,-2.9,30.0,69200.0,0,0.41528204167178706
29.0,0.0,2.3,113.0,-3.2,28.0,69200.0,0.0,0.1,270.0,-5.9,37.0,69200.0,0.0,0.7,45.0,-7.5,40.0,69300.0,350.0,0.6,162.0,-4.2,30.0,69300.0,589.0,0.3,0.0,1.0,20.0,69000.0,319.0,1.8,270.0,3.3,20.0,68800.0,0.0,1.3,297.0,-2.4,32.0,69000.0,0.0,0.9,148.0,-3.8,33.0,69100.0,0,0.31007832332151897
30.0,0.0,0.4,284.0,-5.3,37.0,69000.0,0.0,1.2,312.0,-7.7,44.0,68900.0,0.0,5.4,266.0,-8.9,39.0,69200.0,314.0,1.1,236.0,-4.2,25.0,69400.0,647.0,0.2,180.0,1.4,20.0,69100.0,334.0,0.3,0.0,3.1,19.0,69000.0,0.0,0.9,238.0,-1.2,26.0,69200.0,0.0,2.8,308.0,-4.2,27.0,69400.0,0,0.310077809277035
31.0,0.0,0.8,67.0,-3.9,24.0,69400.0,0.0,1.6,76.0,-4.5,26.0,69400.0,0.0,2.6,90.0,-6.8,31.0,69500.0,388.0,1.7,111.0,-3.6,25.0,69600.0,609.0,2.9,104.0,0.7,19.0,69200.0,245.0,3.1,97.0,1.7,24.0,69000.0,0.0,1.9,96.0,0.0,31.0,69100.0,0.0,6.5,285.0,-2.8,40.0,69400.0,0,0.140944377215866
32.0,0.0,5.1,286.0,-5.0,42.0,69500.0,0.0,9.1,282.0,-6.3,41.0,69500.0,0.0,6.1,279.0,-8.5,41.0,69600.0,434.0,0.2,270.0,-3.3,27.0,69700.0,671.0,1.4,115.0,1.4,20.0,69400.0,299.0,1.3,18.0,3.3,19.0,69200.0,0.0,2.2,283.0,-1.6,37.0,69300.0,0.0,1.3,243.0,-4.4,33.0,69300.0,0,0.6090813576863979
33.0,0.0,1.4,270.0,-6.2,32.0,69400.0,0.0,0.8,140.0,-5.8,32.0,69300.0,0.0,3.9,253.0,-8.3,35.0,69400.0,416.0,1.6,255.0,-2.3,21.0,69400.0,679.0,2.4,270.0,3.8,14.0,69100.0,330.0,9.4,281.0,6.1,13.0,69000.0,0.0,11.1,294.0,1.8,17.0,69200.0,0.0,9.9,264.0,0.1,19.0,69400.0,0,0.174771092018336
34.0,0.0,5.1,277.0,-4.7,29.0,69400.0,0.0,1.9,270.0,-7.1,31.0,69300.0,0.0,0.4,34.0,-5.7,24.0,69400.0,422.0,0.1,0.0,-0.8,16.0,69400.0,677.0,0.2,117.0,3.8,15.0,69000.0,320.0,0.9,276.0,6.8,14.0,68900.0,0.0,2.1,251.0,1.3,27.0,69000.0,0.0,1.3,257.0,-1.9,25.0,69200.0,0,0.18604665234360396
35.0,0.0,1.4,262.0,-2.8,27.0,69300.0,0.0,0.6,108.0,-2.1,27.0,69200.0,0.0,1.1,139.0,-4.0,33.0,69200.0,374.0,0.6,171.0,0.9,24.0,69200.0,676.0,0.3,90.0,6.2,18.0,68800.0,342.0,1.5,90.0,8.3,19.0,68600.0,0.0,0.6,231.0,2.4,28.0,68600.0,0.0,0.7,164.0,2.4,22.0,68600.0,0,0.72173222190195
36.0,0.0,1.3,90.0,0.8,25.0,68600.0,0.0,1.4,102.0,0.7,28.0,68400.0,0.0,1.3,138.0,-1.1,28.0,68400.0,439.0,0.9,122.0,3.9,20.0,68400.0,680.0,0.8,67.0,8.8,16.0,68100.0,323.0,0.1,45.0,10.2,17.0,67900.0,0.0,5.5,102.0,4.9,33.0,68200.0,0.0,6.8,101.0,-2.2,58.0,68500.0,0,0.343300924106211
37.0,0.0,6.5,106.0,-4.1,67.0,68800.0,0.0,3.7,110.0,-5.4,66.0,68900.0,0.0,3.4,146.0,-6.4,66.0,69100.0,279.0,2.6,119.0,-5.3,57.0,69300.0,424.0,0.9,159.0,-2.5,50.0,69200.0,230.0,4.3,109.0,-2.2,56.0,69200.0,0.0,4.0,87.0,-4.5,65.0,69500.0,0.0,2.5,88.0,-5.7,69.0,69700.0,0,0.45977008311027706
38.0,0.0,1.5,122.0,-7.6,79.0,69800.0,0.0,0.6,149.0,-8.7,78.0,69700.0,0.0,0.6,0.0,-9.0,72.0,69800.0,427.0,0.0,0.0,-5.4,53.0,69800.0,658.0,0.9,131.0,-1.2,35.0,69600.0,332.0,1.0,101.0,0.4,30.0,69400.0,0.0,1.2,149.0,-3.2,43.0,69500.0,0.0,0.5,270.0,-6.1,47.0,69500.0,0,0.270613261759792
39.0,0.0,4.3,293.0,-6.3,37.0,69500.0,0.0,2.1,346.0,-7.9,42.0,69400.0,0.0,1.5,349.0,-9.7,42.0,69400.0,374.0,1.3,0.0,-4.3,27.0,69500.0,592.0,1.4,129.0,-0.4,19.0,69200.0,323.0,1.9,96.0,0.8,21.0,69100.0,0.0,6.2,103.0,-3.5,37.0,69300.0,0.0,5.6,96.0,-5.4,47.0,69400.0,0,0.405919410609725
40.0,0.0,4.5,93.0,-6.9,50.0,69400.0,0.0,4.2,101.0,-8.7,55.0,69400.0,0.0,2.9,96.0,-9.2,52.0,69400.0,272.0,3.5,87.0,-6.5,41.0,69600.0,501.0,2.1,98.0,-3.9,36.0,69500.0,276.0,2.5,116.0,-2.5,38.0,69400.0,0.0,2.9,134.0,-4.4,49.0,69700.0,0.0,2.1,163.0,-5.3,50.0,69900.0,0,0.636475879192994
41.0,0.0,0.3,225.0,-7.9,68.0,70000.0,0.0,1.8,304.0,-9.3,73.0,69900.0,0.0,5.7,286.0,-10.7,68.0,70000.0,455.0,2.3,275.0,-5.1,43.0,70100.0,722.0,1.1,202.0,-0.5,30.0,69900.0,367.0,2.2,120.0,0.6,27.0,69700.0,0.0,1.2,194.0,-3.2,45.0,69800.0,0.0,1.6,292.0,-5.8,42.0,69900.0,0,0.507400637470384
42.0,0.0,0.6,270.0,-7.7,41.0,69900.0,0.0,0.6,261.0,-8.5,41.0,69800.0,0.0,0.3,315.0,-9.5,35.0,69900.0,479.0,0.7,153.0,-3.8,23.0,70000.0,738.0,1.1,85.0,1.2,19.0,69700.0,378.0,2.0,90.0,2.9,20.0,69500.0,0.0,0.9,72.0,-1.6,32.0,69600.0,0.0,0.8,97.0,-2.5,20.0,69700.0,0,0.0643556958888827
43.0,0.0,0.4,56.0,-3.6,23.0,69700.0,0.0,3.8,299.0,-7.2,34.0,69800.0,0.0,2.5,299.0,-8.2,36.0,70000.0,347.0,1.3,288.0,-3.0,23.0,70200.0,660.0,3.3,290.0,3.5,16.0,69900.0,370.0,3.3,270.0,5.4,16.0,69700.0,0.0,2.0,297.0,-1.6,34.0,69900.0,0.0,3.7,331.0,-3.9,28.0,70100.0,0,0.48808650180669205
44.0,0.0,4.5,305.0,-6.2,23.0,70300.0,0.0,1.2,329.0,-7.5,25.0,70200.0,1.0,0.0,0.0,-6.2,22.0,70300.0,384.0,0.5,180.0,-2.7,17.0,70400.0,574.0,1.4,124.0,0.9,15.0,70100.0,269.0,0.7,344.0,2.7,15.0,69900.0,0.0,1.0,246.0,-0.8,31.0,70000.0,0.0,3.7,272.0,-4.2,27.0,70100.0,0,0.241172172073763
45.0,0.0,7.4,271.0,-6.0,22.0,70200.0,0.0,5.5,264.0,-8.1,24.0,70000.0,2.0,3.1,270.0,-10.1,24.0,70100.0,499.0,1.2,104.0,-3.2,15.0,70000.0,727.0,1.5,90.0,2.4,13.0,69600.0,329.0,2.0,60.0,3.7,16.0,69200.0,0.0,1.2,270.0,-0.5,24.0,69300.0,0.0,3.1,264.0,-3.7,28.0,69500.0,0,0.11701040881631801
46.0,0.0,2.2,231.0,-3.9,28.0,69400.0,0.0,2.0,200.0,-5.5,32.0,69300.0,2.0,2.4,185.0,-5.8,30.0,69400.0,385.0,1.9,205.0,0.2,19.0,69500.0,717.0,0.9,117.0,4.4,16.0,69300.0,389.0,0.7,153.0,5.8,18.0,69100.0,0.0,0.1,270.0,1.8,29.0,69300.0,0.0,5.8,102.0,-2.2,31.0,69600.0,0,0.14311280949507998
47.0,0.0,1.9,84.0,-3.3,40.0,69800.0,0.0,0.4,346.0,-4.8,44.0,69800.0,5.0,0.9,306.0,-6.7,44.0,69900.0,486.0,1.2,246.0,0.2,28.0,70100.0,741.0,2.0,225.0,5.4,23.0,69800.0,391.0,8.2,305.0,8.3,15.0,69500.0,0.0,1.7,332.0,1.0,35.0,69700.0,0.0,5.1,293.0,-1.1,32.0,69800.0,0,0.251572458814731
48.0,0.0,1.1,297.0,-3.5,29.0,69900.0,0.0,1.1,243.0,-4.1,32.0,69800.0,5.0,2.1,245.0,-7.4,34.0,70000.0,488.0,2.0,217.0,0.1,20.0,70000.0,757.0,1.4,107.0,5.0,18.0,69700.0,406.0,0.8,83.0,7.2,17.0,69400.0,0.0,1.7,180.0,1.7,35.0,69400.0,0.0,1.4,188.0,-1.5,29.0,69400.0,0,0.257422450075682
49.0,0.0,1.9,152.0,-1.7,28.0,69300.0,0.0,1.1,90.0,-2.3,32.0,69100.0,7.0,0.2,270.0,-5.2,40.0,69000.0,501.0,1.7,204.0,2.3,24.0,69100.0,742.0,0.7,135.0,7.1,19.0,68800.0,377.0,2.1,76.0,9.0,17.0,68300.0,0.0,0.8,83.0,5.3,26.0,68300.0,0.0,2.0,105.0,4.1,27.0,68300.0,0,0.264140251461089
50.0,0.0,5.9,108.0,0.4,31.0,68400.0,0.0,6.5,105.0,-2.2,38.0,68300.0,7.0,4.9,104.0,-1.9,39.0,68300.0,473.0,1.8,103.0,1.6,32.0,68400.0,707.0,1.0,107.0,6.3,26.0,68100.0,340.0,3.7,116.0,7.0,30.0,67900.0,0.0,4.7,108.0,2.4,49.0,68200.0,0.0,3.6,101.0,0.4,60.0,68600.0,0,0.558139957030813
51.0,0.0,3.4,117.0,-2.6,77.0,68900.0,0.0,1.9,122.0,-4.0,85.0,68800.0,7.0,1.4,90.0,-4.9,82.0,69100.0,365.0,2.3,105.0,-1.9,62.0,69200.0,513.0,0.9,69.0,0.6,47.0,69000.0,245.0,3.8,115.0,0.3,49.0,68800.0,0.0,5.8,121.0,-2.7,71.0,69100.0,0.0,5.6,113.0,-5.4,77.0,69400.0,0,0.33304590219950003
52.0,0.0,6.1,111.0,-7.0,72.0,69400.0,0.0,3.6,103.0,-7.3,69.0,69300.0,7.0,4.1,124.0,-8.1,69.0,69400.0,334.0,3.7,98.0,-5.6,55.0,69500.0,452.0,4.3,111.0,-3.5,49.0,69200.0,225.0,4.7,101.0,-3.7,56.0,69300.0,0.0,6.0,116.0,-6.0,69.0,69500.0,0.0,5.4,103.0,-7.6,70.0,69700.0,0,0.958422712214484
53.0,0.0,3.4,104.0,-7.7,61.0,69600.0,0.0,3.3,99.0,-8.7,65.0,69500.0,11.0,2.5,122.0,-9.6,64.0,69600.0,460.0,2.4,83.0,-6.2,48.0,69700.0,661.0,2.2,126.0,-2.8,40.0,69400.0,315.0,2.0,105.0,-1.6,37.0,69400.0,0.0,5.3,104.0,-3.1,45.0,69600.0,0.0,4.5,104.0,-5.0,54.0,69700.0,0,0.298376653934086
54.0,0.0,2.5,79.0,-6.6,56.0,69700.0,0.0,1.5,127.0,-7.2,57.0,69500.0,14.0,2.1,65.0,-9.3,60.0,69600.0,532.0,1.4,60.0,-4.5,39.0,69700.0,764.0,3.4,177.0,-0.2,32.0,69500.0,353.0,1.6,108.0,0.9,31.0,69300.0,0.0,2.0,156.0,-1.8,43.0,69600.0,0.0,2.9,316.0,-3.4,43.0,69800.0,0,0.262373543704651
55.0,0.0,2.4,92.0,-6.3,51.0,69800.0,0.0,0.4,297.0,-7.2,53.0,69700.0,16.0,5.5,285.0,-9.9,50.0,69700.0,552.0,4.5,261.0,-3.4,24.0,69800.0,815.0,9.4,278.0,0.8,12.0,69400.0,436.0,14.8,290.0,1.0,12.0,69300.0,0.0,13.6,285.0,-2.9,18.0,69500.0,0.0,10.4,272.0,-5.1,20.0,69700.0,0,0.322004358036966
56.0,0.0,5.3,271.0,-7.4,20.0,69600.0,0.0,3.2,284.0,-9.5,26.0,69500.0,17.0,2.3,320.0,-11.7,28.0,69700.0,563.0,0.6,270.0,-4.7,17.0,69800.0,827.0,1.1,175.0,-0.4,13.0,69600.0,444.0,1.4,168.0,1.1,11.0,69400.0,0.0,3.6,159.0,-3.6,25.0,69600.0,0.0,0.8,140.0,-5.3,20.0,69700.0,0,0.41144986397139105
57.0,0.0,1.7,291.0,-8.3,25.0,69700.0,0.0,3.0,272.0,-9.6,24.0,69600.0,19.0,1.4,253.0,-11.1,22.0,69700.0,564.0,0.3,252.0,-4.1,12.0,69700.0,801.0,2.3,137.0,0.2,12.0,69400.0,340.0,2.5,106.0,1.4,12.0,69100.0,0.0,3.0,339.0,-1.4,26.0,69300.0,0.0,11.6,289.0,-2.2,28.0,69600.0,0,0.381634814587257
58.0,0.0,10.0,270.0,-4.7,34.0,69600.0,0.0,8.1,272.0,-7.0,36.0,69500.0,19.0,3.5,275.0,-9.7,36.0,69600.0,554.0,1.6,281.0,-2.5,22.0,69800.0,775.0,1.8,264.0,2.0,16.0,69600.0,384.0,12.7,304.0,3.2,15.0,69500.0,0.0,9.5,329.0,-1.4,29.0,70000.0,0.0,4.2,341.0,-3.3,40.0,70300.0,0,0.3995232538773979
59.0,0.0,2.3,347.0,-6.5,35.0,70400.0,0.0,1.0,323.0,-8.8,39.0,70400.0,21.0,0.9,63.0,-11.1,38.0,70400.0,575.0,1.6,125.0,-5.2,24.0,70400.0,835.0,3.4,95.0,-0.7,21.0,70000.0,452.0,4.2,87.0,1.0,16.0,69600.0,0.0,6.1,93.0,-2.6,25.0,69700.0,0.0,2.4,83.0,-4.4,20.0,69700.0,0,0.18847870160669603
60.0,0.0,1.7,83.0,-4.7,28.0,69500.0,0.0,0.5,292.0,-7.4,35.0,69300.0,22.0,1.2,279.0,-9.6,40.0,69400.0,553.0,2.2,219.0,-2.3,24.0,69400.0,790.0,1.4,126.0,1.9,20.0,69000.0,388.0,1.1,139.0,3.9,19.0,68700.0,0.0,1.9,186.0,-0.2,36.0,68800.0,0.0,3.8,290.0,-2.7,34.0,69000.0,0,0.459154139766118
